issue | commit | idx | final | time to find first crash in ms | first_crash
65 | 8c27b12 | 1 | B | 155094 | out_mujs_8c27b12_1/queue/id:000287,155094,src:000220,op:havoc,rep:2,+cov
65 | 8c27b12 | 2 | B | 20353874 | out_mujs_8c27b12_2/crashes/id:000000,20353874,sig:11,src:004383,op:havoc,rep:8
65 | 8c27b12 | 3 | B | 105214 | out_mujs_8c27b12_3/queue/id:000332,105214,src:000004,op:havoc,rep:4,+cov
65 | 8c27b12 | 4 | B | 7825728 | out_mujs_8c27b12_4/crashes.2024-09-03-14:23:42/id:000000,7825728,sig:11,src:002920,op:havoc,rep:4
65 | 8c27b12 | 5 | B | 463886 | out_mujs_8c27b12_5/queue/id:001088,463886,src:000374,op:havoc,rep:2,+cov
141 | 832e069 | 1 | X | orig:CVE-2016-10132 | out_mujs_832e069_1/queue/id:000000,orig:CVE-2016-10132
141 | 832e069 | 2 | X | orig:CVE-2016-10132 | out_mujs_832e069_2/queue/id:000000,orig:CVE-2016-10132
141 | 832e069 | 3 | X | orig:CVE-2016-10132 | out_mujs_832e069_3/queue/id:000000,orig:CVE-2016-10132
141 | 832e069 | 4 | X | orig:CVE-2016-10132 | out_mujs_832e069_4/queue/id:000000,orig:CVE-2016-10132
141 | 832e069 | 5 | X | orig:CVE-2016-10132 | out_mujs_832e069_5/queue/id:000000,orig:CVE-2016-10132
145 | 4c7f6be | 1 | B | 1296891 | out_mujs_4c7f6be_1/crashes.2024-09-03-14:23:48/target_id:000000,1296891,sig:11,src:001003,op:flip1,pos:124
145 | 4c7f6be | 2 | B | 410306 | out_mujs_4c7f6be_2/crashes.2024-09-03-14:23:49/target_id:000000,410306,sig:11,src:000839,op:havoc,rep:8
145 | 4c7f6be | 3 | B | 252995 | out_mujs_4c7f6be_3/crashes.2024-09-03-14:23:50/target_id:000000,252995,sig:11,src:000530,op:flip1,pos:41
145 | 4c7f6be | 4 | B | 1343817 | out_mujs_4c7f6be_4/crashes.2024-09-03-14:23:51/target_id:000000,1343817,sig:11,src:000927,op:flip1,pos:124
145 | 4c7f6be | 5 | B | 901429 | out_mujs_4c7f6be_5/crashes.2024-09-03-14:24:08/target_id:000000,901429,sig:11,src:000941,op:flip1,pos:124
166 | 3f71a1c | 1 | B | orig:jsc_5.js | out_mujs_3f71a1c_1/queue/id:000013,orig:jsc_5.js
166 | 3f71a1c | 2 | B | orig:jsc_5.js | out_mujs_3f71a1c_2/queue/id:000013,orig:jsc_5.js
166 | 3f71a1c | 3 | B | orig:jsc_5.js | out_mujs_3f71a1c_3/queue/id:000013,orig:jsc_5.js
166 | 3f71a1c | 4 | B | orig:jsc_5.js | out_mujs_3f71a1c_4/queue/id:000013,orig:jsc_5.js
166 | 3f71a1c | 5 | B | orig:jsc_5.js | out_mujs_3f71a1c_5/queue/id:000013,orig:jsc_5.js
